fecha,clave,tipo,origen,destino,vuelta_desde,ida,vuelta,grupo,orden,corredor,via,aerolineas,vuelos,salida,llegada,duracion_min,n_escalas,precio,extensiones
2026-09-16,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,4,madrid,SCL-MAD,LATAM / Iberia,LA 4 · IB 118 · IB 543,2027-07-12 07:41,2027-07-13 07:40,1139,2,5337231,
2026-09-16,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,0,madrid,SCL-MAD,LATAM / Air Europa,LA 212 · LA 706 · UX 1141,2027-07-12 06:31,2027-07-13 19:20,1909,2,4879482,
2026-09-16,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,1,madrid,SCL-MAD,LATAM / Air Europa,LA 16 · LA 706 · UX 1147,2027-07-12 15:16,2027-07-14 06:45,2069,2,4934499,
2026-09-16,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,2,madrid,SCL-MAD,LATAM / Iberia,LA 14 · IB 118 · IB 543,2027-07-12 20:51,2027-07-14 07:40,1789,2,5539491,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 118 · IB 543,2027-07-10 11:40,2027-07-11 07:40,900,1,3056478,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,mejor,1,madrid,MAD,Iberia,IB 114 · IB 1153,2027-07-10 23:20,2027-07-11 20:00,940,1,3056478,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,mejor,2,brasil,GRU-MAD,LATAM / Air Europa,LA 8155 · LA 8066 · UX 1141,2027-07-10 15:50,2027-07-11 19:20,1350,2,3174972,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,mejor,3,madrid,MAD,LATAM / Iberia,LA 706 · IB 1153,2027-07-10 18:00,2027-07-11 20:00,1260,1,3212403,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,mejor,4,madrid,MAD,LATAM / Air Europa,LA 706 · UX 1141,2027-07-10 18:00,2027-07-11 19:20,1220,1,3388410,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,0,madrid,MAD,Iberia,IB 114 · IB 543,2027-07-10 23:20,2027-07-12 07:40,1640,1,3001731,
